Contest ID,Index,Name,Rating,Tags,Date Solved,URL
1365,D,Solve The Maze,1700,"constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, shortest paths",2025-09-22,https://codeforces.com/problemset/problem/1365/D
1368,D,"AND, OR and square sum",1700,"bitmasks, greedy, math",2025-10-03,https://codeforces.com/problemset/problem/1368/D
1382,C2,Prefix Flip (Hard Version),1700,"constructive algorithms, data structures, implementation, strings",2025-09-28,https://codeforces.com/problemset/problem/1382/C2
1384,C,String Transformation 1,1700,"dfs and similar, dsu, graphs, greedy, sortings, trees",2025-10-04,https://codeforces.com/problemset/problem/1384/C
1400,B,RPG Protagonist,1700,"brute force, greedy, math",2022-10-07,https://codeforces.com/problemset/problem/1400/B
1406,C,Link Cut Centroids,1700,"constructive algorithms, dfs and similar, graphs, trees",2022-05-28,https://codeforces.com/problemset/problem/1406/C
1430,D,String Deletion,1700,"binary search, data structures, greedy, two pointers",2022-06-01,https://codeforces.com/problemset/problem/1430/D
1462,E2,Close Tuples (hard version),1700,"binary search, combinatorics, implementation, math, sortings, two pointers",2022-06-04,https://codeforces.com/problemset/problem/1462/E2
1467,B,Hills And Valleys,1700,"brute force, implementation",2022-04-25,https://codeforces.com/problemset/problem/1467/B
1469,D,Ceil Divisions,1700,"brute force, constructive algorithms, math, number theory",2022-05-31,https://codeforces.com/problemset/problem/1469/D
1474,C,Array Destruction,1700,"brute force, constructive algorithms, data structures, greedy, implementation, sortings",2022-04-24,https://codeforces.com/problemset/problem/1474/C
1476,D,Journey,1700,"dfs and similar, dp, dsu, implementation",2022-06-04,https://codeforces.com/problemset/problem/1476/D
1480,C,Searching Local Minimum,1700,"binary search, interactive, math, ternary search",2025-10-04,https://codeforces.com/problemset/problem/1480/C
1504,D,3-Coloring,1700,"constructive algorithms, games, graphs, interactive",2022-09-28,https://codeforces.com/problemset/problem/1504/D
1537,D,Deleting Divisors,1700,"games, math, number theory",2025-09-30,https://codeforces.com/problemset/problem/1537/D
1538,D,Another Problem About Dividing Numbers,1700,"constructive algorithms, math, number theory",2025-09-28,https://codeforces.com/problemset/problem/1538/D
1554,B,Cobb,1700,"bitmasks, brute force, greedy, math",2025-09-30,https://codeforces.com/problemset/problem/1554/B
1611,E1,Escape The Maze (easy version),1700,"dfs and similar, greedy, shortest paths, trees, two pointers",2022-08-11,https://codeforces.com/problemset/problem/1611/E1
1625,C,Road Optimization,1700,dp,2022-06-06,https://codeforces.com/problemset/problem/1625/C
1626,C,Monsters And Spells,1700,"binary search, data structures, dp, greedy, implementation, math, two pointers",2022-05-24,https://codeforces.com/problemset/problem/1626/C
1628,B,Peculiar Movie Preferences,1700,"greedy, strings",2022-05-16,https://codeforces.com/problemset/problem/1628/B
1681,D,Required Length,1700,"brute force, dfs and similar, dp, hashing, shortest paths",2025-10-01,https://codeforces.com/problemset/problem/1681/D
1695,C,Zero Path,1700,"brute force, data structures, dp, graphs, greedy, shortest paths",2025-08-25,https://codeforces.com/problemset/problem/1695/C
1699,C,The Third Problem,1700,"combinatorics, constructive algorithms, math",2025-10-01,https://codeforces.com/problemset/problem/1699/C
1700,C,Helping the Nature,1700,"constructive algorithms, data structures, greedy",2025-09-23,https://codeforces.com/problemset/problem/1700/C
1714,G,Path Prefixes,1700,"binary search, data structures, dfs and similar, trees",2022-08-03,https://codeforces.com/problemset/problem/1714/G
1722,F,L-shapes,1700,"dfs and similar, implementation",2022-08-31,https://codeforces.com/problemset/problem/1722/F
1731,C,Even Subarrays,1700,"bitmasks, brute force, hashing, math, number theory",2025-09-23,https://codeforces.com/problemset/problem/1731/C
1770,C,Koxia and Number Theory,1700,"brute force, chinese remainder theorem, math, number theory",2025-10-05,https://codeforces.com/problemset/problem/1770/C
1777,C,Quiz Master,1700,"binary search, math, number theory, sortings, two pointers",2025-09-24,https://codeforces.com/problemset/problem/1777/C
1783,C,Yet Another Tournament,1700,"binary search, greedy, sortings",2025-10-02,https://codeforces.com/problemset/problem/1783/C
1814,B,Long Legs,1700,"brute force, math",2025-09-24,https://codeforces.com/problemset/problem/1814/B
1826,D,Running Miles,1700,"brute force, dp, greedy",2025-09-29,https://codeforces.com/problemset/problem/1826/D
1849,D,Array Painting,1700,"constructive algorithms, greedy, two pointers",2025-10-02,https://codeforces.com/problemset/problem/1849/D
1879,D,Sum of XOR Functions,1700,"bitmasks, combinatorics, divide and conquer, dp, math",2025-10-05,https://codeforces.com/problemset/problem/1879/D
1948,D,Tandem Repeats?,1700,"brute force, strings, two pointers",2025-09-29,https://codeforces.com/problemset/problem/1948/D
1971,G,XOUR,1700,"data structures, dsu, sortings",2025-09-29,https://codeforces.com/problemset/problem/1971/G
2122,C,Manhattan Pairs,1700,"constructive algorithms, geometry, greedy, math, sortings",2025-10-07,https://codeforces.com/problemset/problem/2122/C
